ration_id,client_id,ration_name,yellow_maize_pct,soybean_meal_pct,wheat_bran_pct,sunflower_meal_pct,hominy_chop_pct,urea_pct,minerals_pct,cost_per_ton_zar
R001,C001,Grower 70:30,62.00,12.00,8.00,6.00,10.00,0.50,1.50,4850.00
R002,C001,Finisher 85:15,74.00,8.00,6.00,3.00,7.00,0.50,1.50,5120.00
R003,C002,Grower 70:30,60.00,14.00,8.00,5.00,10.00,0.50,2.00,4920.00
R004,C002,Finisher 85:15,72.00,9.00,6.00,4.00,7.00,0.50,1.50,5180.00
R005,C003,Grower 65:35,58.00,15.00,10.00,5.00,9.00,0.50,2.50,4890.00
R006,C003,Finisher 80:20,70.00,10.00,8.00,4.00,6.00,0.50,1.50,5090.00
R007,C004,Grower 70:30,61.00,13.00,9.00,5.00,9.00,0.50,2.50,4870.00
R008,C004,Finisher 85:15,73.00,9.00,5.00,4.00,7.00,0.50,1.50,5140.00
R009,C005,Grower 70:30,62.00,12.00,8.00,6.00,10.00,0.50,1.50,4810.00
R010,C005,Finisher 85:15,74.00,8.00,6.00,3.00,7.00,0.50,1.50,5100.00
